event_id,event_time,ccy_couple,rate
288230383844089590,1708466370036,EURUSD,1.080790000000000
288230383844089594,1708466370038,NZDUSD,0.616420000000000
288230383844089598,1708466370039,AUDUSD,0.654900000000000
288230383844089602,1708466370039,EURGBP,0.856190000000000
288230383844089608,1708466370040,GBPUSD,1.262300000000000
288230383844089658,1708466370136,EURUSD,1.080780000000000
288230383844089664,1708466370139,AUDUSD,0.654900000000000
288230383844089668,1708466370139,EURGBP,0.856190000000000
288230383844089674,1708466370140,GBPUSD,1.262300000000000
288230383844089716,1708466370236,EURUSD,1.080790000000000
288230383844089728,1708466370239,AUDUSD,0.654900000000000
288230383844089730,1708466370239,EURGBP,0.856200000000000
288230383844089734,1708466370240,GBPUSD,1.262300000000000
288230383844089774,1708466370336,EURUSD,1.080780000000000
288230383844089780,1708466370339,EURGBP,0.856190000000000
288230383844089786,1708466370340,GBPUSD,1.262300000000000
288230383844089806,1708466370347,AUDUSD,0.654900000000000
288230383844089826,1708466370439,EURGBP,0.856190000000000
288230383844089832,1708466370440,GBPUSD,1.262300000000000
288230383844089846,1708466370447,AUDUSD,0.654900000000000
288230383844089848,1708466370448,EURUSD,1.080780000000000
288230383844089874,1708466370539,EURGBP,0.856190000000000
288230383844089880,1708466370540,GBPUSD,1.262300000000000
288230383844089886,1708466370547,AUDUSD,0.654900000000000
288230383844089890,1708466370548,EURUSD,1.080790000000000
288230383844089914,1708466370639,EURGBP,0.856200000000000
288230383844089930,1708466370648,EURUSD,1.080800000000000
288230383844089968,1708466370739,EURGBP,0.856200000000000
288230383844089982,1708466370748,EURUSD,1.080790000000000
288230383844089992,1708466370798,AUDUSD,0.654900000000000
288230383844090014,1708466370839,EURGBP,0.856200000000000
288230383844090026,1708466370848,EURUSD,1.080800000000000
288230383844090032,1708466370894,GBPUSD,1.262300000000000
288230383844090038,1708466370899,NZDUSD,0.616420000000000
288230383844090054,1708466370948,EURUSD,1.080790000000000
288230383844090056,1708466370962,AUDUSD,0.654900000000000
288230383844090070,1708466370994,GBPUSD,1.262300000000000
288230383844090076,1708466371023,NZDUSD,0.616420000000000
288230383844090096,1708466371062,AUDUSD,0.654900000000000
288230383844090110,1708466371103,EURGBP,0.856200000000000
288230383844090136,1708466371162,AUDUSD,0.654900000000000
288230383844090142,1708466371185,EURUSD,1.080790000000000
288230383844090156,1708466371215,GBPUSD,1.262300000000000
288230383844090178,1708466371262,AUDUSD,0.654900000000000
288230383844090182,1708466371285,EURUSD,1.080790000000000
288230383844090218,1708466371433,EURGBP,0.856190000000000
288230383844090230,1708466371533,EURGBP,0.856190000000000
288230383844090232,1708466371539,GBPUSD,1.262300000000000
288230383844090248,1708466371633,EURGBP,0.856190000000000
288230383844090250,1708466371639,GBPUSD,1.262300000000000
288230383844090290,1708466371784,EURUSD,1.080800000000000
288230383844090306,1708466371807,EURGBP,0.856190000000000
288230383844090326,1708466371884,EURUSD,1.080800000000000
288230383844090364,1708466372046,GBPUSD,1.262300000000000
288230383844090366,1708466372054,EURGBP,0.856190000000000
288230383844090392,1708466372146,GBPUSD,1.262300000000000
288230383844090394,1708466372157,EURGBP,0.856190000000000
288230383844090424,1708466372246,GBPUSD,1.262300000000000
288230383844090428,1708466372257,EURGBP,0.856200000000000
288230383844090444,1708466372346,GBPUSD,1.262300000000000
288230383844090446,1708466372357,EURGBP,0.856190000000000
288230383844090454,1708466372457,EURGBP,0.856190000000000
288230383844090482,1708466372557,EURGBP,0.856190000000000
288230383844090510,1708466372747,EURGBP,0.856190000000000
288230383844090512,1708466372750,GBPUSD,1.262300000000000
288230383844090526,1708466372847,EURGBP,0.856190000000000
288230383844090528,1708466372850,GBPUSD,1.262300000000000
288230383844090572,1708466373054,EURGBP,0.856190000000000
288230383844090624,1708466373424,EURGBP,0.856190000000000
288230383844090626,1708466373426,GBPUSD,1.262300000000000
288230383844090650,1708466373524,EURGBP,0.856190000000000
288230383844090652,1708466373526,GBPUSD,1.262300000000000
288230383844090664,1708466373624,EURGBP,0.856190000000000
288230383844090704,1708466374084,EURUSD,1.080800000000000
288230383844090720,1708466374103,GBPUSD,1.262300000000000
288230383844090732,1708466374184,EURUSD,1.080800000000000
288230383844090746,1708466374203,GBPUSD,1.262300000000000
288230383844090758,1708466374284,EURUSD,1.080800000000000
288230383844090776,1708466374433,EURGBP,0.856190000000000
288230383844090788,1708466374545,EURGBP,0.856190000000000
288230383844090790,1708466374547,GBPUSD,1.262300000000000
288230383844090800,1708466374645,EURGBP,0.856190000000000
288230383844090802,1708466374647,GBPUSD,1.262300000000000
288230383844090812,1708466374751,AUDUSD,0.654900000000000
288230383844090816,1708466374751,GBPUSD,1.262300000000000
288230383844090826,1708466374775,NZDUSD,0.616420000000000
288230383844090840,1708466374851,GBPUSD,1.262300000000000
288230383844090860,1708466375059,EURGBP,0.856190000000000
288230383844090876,1708466375244,EURGBP,0.856190000000000
288230383844090894,1708466375310,NZDUSD,0.616420000000000
288230383844090898,1708466375344,EURGBP,0.856190000000000
288230383844090904,1708466375410,NZDUSD,0.616410000000000
288230383844090906,1708466375444,EURGBP,0.856180000000000
288230383844090928,1708466375558,EURGBP,0.856190000000000
288230383844090992,1708466376228,EURGBP,0.856190000000000
288230383844091030,1708466376531,EURUSD,1.080800000000000
288230383844091038,1708466376678,EURUSD,1.080800000000000
288230383844091046,1708466376789,EURGBP,0.856190000000000
288230383844091052,1708466376791,EURUSD,1.080790000000000
